day,closing,alpha,f,yield
2019/1/2,2465.29,6.94E-18,-0.0423,-0.00501
2019/1/3,2464.36,0.5946,-0.08998,-0.00016
2019/1/4,2514.87,0.649862,-0.53724,0.008811
2019/1/7,2533.09,0.988784,0.663702,0.003135
2019/1/8,2526.46,1.263934,-0.36171,-0.00114
2019/1/9,2544.34,0.809741,-0.529,0.003063
2019/1/10,2535.1,3.94E-11,-0.6524,-0.00158
2019/1/11,2553.83,0.873626,-0.67537,0.003197
2019/1/14,2535.77,0.790482,-0.67729,-0.00308
2019/1/15,2570.34,9.23E-11,0.021883,0.005881
2019/1/16,2570.42,0.710583,-0.17542,0.0000135
2019/1/17,2559.64,1.069504,-0.82336,-0.00183
2019/1/18,2596.01,0.896271,-1.18335,0.006127
2019/1/21,2610.51,8.50E-12,-0.87087,0.002419
2019/1/22,2579.7,0.460547,0.767446,-0.00516
2019/1/23,2581,0.373778,-0.77669,0.000219
2019/1/24,2591.69,1.118994,-0.42879,0.001795
2019/1/25,2601.72,1.712885,-1.43562,0.001678
2019/1/28,2596.98,0.24315,0.493481,-0.00079
2019/1/29,2594.25,2.322098,-0.63884,-0.00046
2019/1/30,2575.58,1.568787,-1.63133,-0.00314
2019/1/31,2584.57,0.697421,-0.49352,0.001513
2019/2/1,2618.23,0.732019,0.078661,0.005619
2019/2/11,2653.9,1.99E-15,0.05873,0.005877
2019/2/12,2671.89,1.858528,-1.17185,0.002934
2019/2/13,2721.07,0.535344,-0.86912,0.007921
2019/2/14,2719.7,1.538971,-1.17541,-0.00022
2019/2/15,2682.39,1.178219,-0.21293,-0.006
2019/2/18,2754.36,1.581706,-0.66134,0.011499
2019/2/19,2755.65,0.05673,-0.05328,0.000203
2019/2/20,2761.22,0.059183,0.595544,0.000877
2019/2/22,2804.23,1.00E-10,-0.16521,0.006713
2019/2/25,2961.28,0.49638,-1.12933,0.023666
2019/2/27,2953.82,0.451396,-0.063,-0.0011
