,day,closing,alpha,f,yield,datetime
0,2019/1/2,2465.29,6.94e-18,-0.0423,-0.0050100000000000006,2019-01-02
1,2019/1/3,2464.36,0.5946,-0.08997999999999999,-0.00016,2019-01-03
2,2019/1/4,2514.87,0.6498619999999999,-0.5372399999999999,0.008811,2019-01-04
3,2019/1/7,2533.09,0.988784,0.663702,0.003135,2019-01-07
4,2019/1/8,2526.46,1.2639340000000001,-0.36171,-0.00114,2019-01-08
5,2019/1/9,2544.34,0.8097409999999999,-0.529,0.0030629999999999998,2019-01-09
6,2019/1/10,2535.1,3.94e-11,-0.6524,-0.00158,2019-01-10
7,2019/1/11,2553.83,0.873626,-0.67537,0.0031969999999999998,2019-01-11
8,2019/1/14,2535.77,0.790482,-0.67729,-0.0030800000000000003,2019-01-14
9,2019/1/15,2570.34,9.230000000000001e-11,0.021883,0.005881,2019-01-15
10,2019/1/16,2570.42,0.710583,-0.17542,1.3500000000000001e-05,2019-01-16
11,2019/1/17,2559.64,1.069504,-0.8233600000000001,-0.00183,2019-01-17
12,2019/1/18,2596.01,0.8962709999999999,-1.18335,0.0061270000000000005,2019-01-18
13,2019/1/21,2610.51,8.5e-12,-0.87087,0.002419,2019-01-21
14,2019/1/22,2579.7,0.46054700000000004,0.767446,-0.0051600000000000005,2019-01-22
15,2019/1/23,2581.0,0.373778,-0.77669,0.00021899999999999998,2019-01-23
16,2019/1/24,2591.69,1.118994,-0.42878999999999995,0.001795,2019-01-24
17,2019/1/25,2601.72,1.7128849999999998,-1.4356200000000001,0.001678,2019-01-25
18,2019/1/28,2596.98,0.24315,0.49348100000000006,-0.00079,2019-01-28
19,2019/1/29,2594.25,2.322098,-0.63884,-0.00045999999999999996,2019-01-29
20,2019/1/30,2575.58,1.5687870000000002,-1.63133,-0.00314,2019-01-30
21,2019/1/31,2584.57,0.697421,-0.49351999999999996,0.001513,2019-01-31
22,2019/2/1,2618.23,0.732019,0.078661,0.005619,2019-02-01
23,2019/2/11,2653.9,1.99e-15,0.05873,0.005877,2019-02-11
